Industry,Rank in 2021,2021,Rank in 2011,2011
"Retail trade, except of motor vehicles and motorcycles",1,2844470,1,2865131
Education,2,2732876,2,2641162
Human health activities,3,2481506,4,1801428
Construction of buildings; 42 Civil engineering; 43 Specialised construction activities,4,2406228,3,2053677
Public administration and defence; compulsory social security,5,1646592,5,1598413
Social work activities without accommodation,6,1177057,7,1052920
Food and beverage service activities,7,1150280,6,1198133
"Computer programming, consultancy and related activities",8,790258,14,516159
"Wholesale trade, except of motor vehicles and motorcycles",9,769430,8,814664
Services to buildings and landscape activities,10,707730,12,538444
Land transport and transport via pipelines,11,697126,9,667603
Legal and accounting activities,12,609512,11,557561
"Financial service activities, except insurance and pension funding",13,483398,10,644442